CID,Time,Text,Platform,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,West Point band will play at Vanderbilt Mansion Aug. 15 https://t.co/H6828LBbcL,Twitter,
,,"RT @ClassicalKUSC: Sad to learn of the death of Thomas Stevens, former principal trumpet of the @LAPhil from 1972-2000. Stevens was hired by Zubin Mehta in 1965 following brief stints in the Dallas Symphony Orchestra and in the U.S. Army as a solo trumpeter with the West Point Band. https://t.co/cmLCkMXUCe",Twitter,
